{'mean': 8228.799783795765, 'std': 4392.798475994285, 'max': 20006.822918354806, 'min': 0.0}
         106486 function calls (103584 primitive calls) in 234.160 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    30/20    0.000    0.000    0.020    0.001 <frozen importlib._bootstrap_external>:1239(exec_module)
    30/20    0.004    0.000    0.020    0.001 {built-in method _imp.exec_dynamic}
      159    0.002    0.000    0.019    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
      119    0.000    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
      119    0.018    0.000    0.018    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.017    0.017 numerictypes.py:1(<module>)
      158    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
      158    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
        1    0.000    0.000    0.016    0.016 _type_aliases.py:1(<module>)
        1    0.015    0.015    0.015    0.015 {built-in method mkl._py_mkl_service.get_version}
      295    0.003    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
      119    0.014    0.000    0.014    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.013    0.013 py3k.py:1(<module>)
        1    0.000    0.000    0.012    0.012 twodim_base.py:366(tri)
        1    0.012    0.012    0.012    0.012 {method 'outer' of 'numpy.ufunc' objects}
  191/131    0.000    0.000    0.011    0.000 typing.py:352(inner)
  253/252    0.005    0.000    0.011    0.000 {built-in method builtins.__build_class__}
        1    0.000    0.000    0.011    0.011 secrets.py:1(<module>)
        1    0.000    0.000    0.009    0.009 multiarray.py:1(<module>)
        1    0.000    0.000    0.009    0.009 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.009    0.009 _methods.py:39(_amax)
        1    0.000    0.000    0.009    0.009 {method 'min' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.009    0.009 _methods.py:43(_amin)
        1    0.000    0.000    0.009    0.009 numeric.py:1(<module>)
        1    0.000    0.000    0.009    0.009 code.py:19(load_points)
        1    0.000    0.000    0.009    0.009 npyio.py:1098(loadtxt)
        1    0.000    0.000    0.009    0.009 npyio.py:818(_read)
        1    0.000    0.000    0.009    0.009 {method 'mean' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.009    0.009 _methods.py:101(_mean)
        1    0.000    0.000    0.008    0.008 overrides.py:1(<module>)
      144    0.000    0.000    0.008    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.008    0.008 pathlib.py:1(<module>)
       22    0.000    0.000    0.008    0.000 _compiler.py:738(compile)
       19    0.000    0.000    0.008    0.000 __init__.py:225(compile)
      317    0.001    0.000    0.007    0.000 overrides.py:142(decorator)
        1    0.000    0.000    0.007    0.007 _datasource.py:155(open)
        1    0.000    0.000    0.007    0.007 _datasource.py:487(open)
        1    0.000    0.000    0.007    0.007 utils.py:1(<module>)
        1    0.000    0.000    0.006    0.006 _datasource.py:344(_findfile)
        2    0.000    0.000    0.006    0.003 _datasource.py:294(_possible_names)
        3    0.000    0.000    0.006    0.002 _datasource.py:263(_iszip)
        5    0.000    0.000    0.006    0.001 _datasource.py:130(keys)
        6    0.000    0.000    0.006    0.001 _datasource.py:103(_load)
        1    0.000    0.000    0.006    0.006 __init__.py:32(__enter__)
        2    0.000    0.000    0.005    0.003 shape_base.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
      638    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.005    0.005 hmac.py:1(<module>)
      639    0.005    0.000    0.005    0.000 {built-in method posix.stat}
        1    0.000    0.000    0.005    0.005 platform.py:1(<module>)
      156    0.001    0.000    0.005    0.000 typing.py:1353(__init__)
       54    0.000    0.000    0.005    0.000 typing.py:479(__getitem__)
       54    0.000    0.000    0.005    0.000 typing.py:658(Union)
       22    0.000    0.000    0.004    0.000 _parser.py:972(parse)
        1    0.000    0.000    0.004    0.004 parse.py:1(<module>)
    64/22    0.000    0.000    0.004    0.000 _parser.py:449(_parse_sub)
    67/24    0.002    0.000    0.004    0.000 _parser.py:509(_parse)
      150    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      278    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
      119    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.004    0.004 fromnumeric.py:1(<module>)
10079/9935    0.004    0.000    0.004    0.000 {built-in method builtins.len}
    45/12    0.000    0.000    0.004    0.000 typing.py:1380(__getitem__)
        1    0.000    0.000    0.004    0.004 _dtype_like.py:1(<module>)
        1    0.000    0.000    0.003    0.003 npyio.py:1(<module>)
     1489    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
        1    0.000    0.000    0.003    0.003 core.py:1(<module>)
        2    0.000    0.000    0.003    0.001 polynomial.py:1(<module>)
       22    0.000    0.000    0.003    0.000 _compiler.py:571(_code)
      605    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
      238    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:437(cache_from_source)
      317    0.001    0.000    0.003    0.000 function_base.py:497(add_newdoc)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _char_codes.py:1(<module>)
        1    0.000    0.000    0.002    0.002 extras.py:1(<module>)
       39    0.000    0.000    0.002    0.000 typing.py:485(__getitem__)
      379    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
        1    0.000    0.000    0.002    0.002 random.py:1(<module>)
       39    0.000    0.000    0.002    0.000 typing.py:708(Literal)
      268    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:392(cached)
       15    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
   137/22    0.001    0.000    0.002    0.000 _compiler.py:37(_compile)
    45/12    0.000    0.000    0.002    0.000 typing.py:1412(_determine_new_args)
        2    0.000    0.000    0.002    0.001 function_base.py:1(<module>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1441(_make_substitution)
       15    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
     5185    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
      149    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:567(_get_cached)
        1    0.000    0.000    0.002    0.002 _methods.py:1(<module>)
     1245    0.001    0.000    0.002    0.000 typing.py:1297(__setattr__)
        1    0.000    0.000    0.002    0.002 scimath.py:1(<module>)
      194    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      209    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      331    0.001    0.000    0.002    0.000 functools.py:35(update_wrapper)
        1    0.000    0.000    0.002    0.002 datetime.py:1(<module>)
      162    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:169(__enter__)
       14    0.000    0.000    0.002    0.000 core.py:115(doc_note)
      159    0.001    0.000    0.002    0.000 typing.py:247(_collect_parameters)
        1    0.002    0.002    0.002    0.002 {built-in method numpy.core._multiarray_umath._load_from_filelike}
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
      541    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
        1    0.000    0.000    0.002    0.002 _globals.py:1(<module>)
    11753    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
      296    0.001    0.000    0.002    0.000 typing.py:168(_type_check)
     1489    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
      586    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
      280    0.000    0.000    0.001    0.000 typing.py:694(<genexpr>)
        1    0.000    0.000    0.001    0.001 getlimits.py:162(_register_known_types)
       11    0.001    0.000    0.001    0.000 __init__.py:350(namedtuple)
        1    0.000    0.000    0.001    0.001 _ufunc_config.py:1(<module>)
       28    0.001    0.000    0.001    0.000 inspect.py:867(cleandoc)
      149    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1599(_get_spec)
     1519    0.001    0.000    0.001    0.000 typing.py:1245(_is_dunder)
      541    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:100(acquire)
       12    0.000    0.000    0.001    0.000 typing.py:1661(copy_with)
  619/614    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x860f60}
     2247    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
      345    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1421(_path_importer_cache)
       26    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.001    0.001 defchararray.py:1(<module>)
      156    0.000    0.000    0.001    0.000 typing.py:1258(__init__)
        6    0.000    0.000    0.001    0.000 getlimits.py:34(__init__)
        1    0.000    0.000    0.001    0.001 _internal.py:1(<module>)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
      541    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:125(release)
      238    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:975(exec_module)
        1    0.000    0.000    0.001    0.001 <frozen ntpath>:1(<module>)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
       54    0.000    0.000    0.001    0.000 typing.py:313(_remove_dups_flatten)
        1    0.001    0.001    0.001    0.001 extras.py:263(_fromnxfunction_single)
      119    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
       27    0.000    0.000    0.001    0.000 typing.py:1804(__class_getitem__)
       10    0.000    0.000    0.001    0.000 extras.py:233(__init__)
       10    0.000    0.000    0.001    0.000 extras.py:237(getdoc)
        1    0.000    0.000    0.001    0.001 base64.py:1(<module>)
      149    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:778(spec_from_file_location)
       36    0.000    0.000    0.001    0.000 getlimits.py:111(_float_to_str)
        5    0.000    0.000    0.001    0.000 typing.py:2874(__new__)
       33    0.000    0.000    0.001    0.000 typing.py:1503(copy_with)
        1    0.000    0.000    0.001    0.001 gzip.py:1(<module>)
        1    0.000    0.000    0.001    0.001 hashlib.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:351(_sanity_check)
       93    0.000    0.000    0.001    0.000 typing.py:299(_deduplicate)
      144    0.000    0.000    0.001    0.000 typing.py:1705(__hash__)
       57    0.001    0.000    0.001    0.000 _compiler.py:241(_optimize_charset)
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
     1893    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
       15    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_path_hooks)
        1    0.001    0.001    0.001    0.001 {method 'dot' of 'numpy.ndarray' objects}
       11    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      119    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:642(_classify_pyc)
        3    0.000    0.000    0.001    0.000 warnings.py:130(filterwarnings)
      162    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:173(__exit__)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1595(_array_str_implementation)
        1    0.000    0.000    0.001    0.001 contextvars.py:1(<module>)
       22    0.000    0.000    0.001    0.000 _compiler.py:509(_compile_info)
        1    0.000    0.000    0.001    0.001 _scalars.py:1(<module>)
        2    0.000    0.000    0.001    0.000 hashlib.py:82(__get_builtin_constructor)
       18    0.000    0.000    0.001    0.000 arrayprint.py:506(wrapper)
        5    0.000    0.000    0.001    0.000 typing.py:2855(_make_nmtuple)
        1    0.000    0.000    0.001    0.001 struct.py:1(<module>)
     1000    0.000    0.000    0.001    0.000 _parser.py:164(__getitem__)
      317    0.000    0.000    0.001    0.000 function_base.py:483(_add_docstring)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
       49    0.000    0.000    0.001    0.000 core.py:131(get_object_signature)
        1    0.000    0.000    0.001    0.001 nanfunctions.py:1(<module>)
     1624    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:244(_verbose_message)
        1    0.000    0.000    0.001    0.001 bisect.py:1(<module>)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1588(_guarded_repr_or_str)
      245    0.000    0.000    0.001    0.000 {built-in method builtins.max}
       26    0.000    0.000    0.001    0.000 core.py:6855(__init__)
      274    0.000    0.000    0.001    0.000 typing.py:1287(__getattr__)
        1    0.000    0.000    0.000    0.000 ipaddress.py:2265(_IPv6Constants)
       26    0.000    0.000    0.000    0.000 core.py:6860(getdoc)
   172/57    0.000    0.000    0.000    0.000 _parser.py:174(getwidth)
       28    0.000    0.000    0.000    0.000 ipaddress.py:2189(__init__)
      570    0.000    0.000    0.000    0.000 _parser.py:254(get)
     1881    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
      357    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      159    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
     1868    0.000    0.000    0.000    0.000 typing.py:1695(<genexpr>)
        1    0.000    0.000    0.000    0.000 ipaddress.py:1542(_IPv4Constants)
        1    0.000    0.000    0.000    0.000 pickle.py:197(<listcomp>)
     3639    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
     1793    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
      119    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
       52    0.000    0.000    0.000    0.000 core.py:894(__init__)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:920(find_spec)
  108/106    0.000    0.000    0.000    0.000 typing.py:1669(__hash__)
       19    0.000    0.000    0.000    0.000 ipaddress.py:1475(__init__)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:1(<module>)
      107    0.000    0.000    0.000    0.000 __init__.py:163(match)
       14    0.000    0.000    0.000    0.000 __init__.py:198(split)
     3217    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
  277/219    0.000    0.000    0.000    0.000 typing.py:1371(__hash__)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:198(cb)
      605    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
      556    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1696(path_hook_for_FileFinder)
      740    0.000    0.000    0.000    0.000 _parser.py:233(__next)
      401    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:405(parent)
        2    0.000    0.000    0.000    0.000 enum.py:497(__new__)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
      302    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      635    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1030(__exit__)
     1233    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
      161    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:71(__init__)
      635    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1026(__enter__)
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
     1062    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       44    0.000    0.000    0.000    0.000 typing.py:1033(__typing_subst__)
  529/435    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
       39    0.000    0.000    0.000    0.000 typing.py:329(_flatten_literal_params)
       30    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
      476    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       35    0.000    0.000    0.000    0.000 _parser.py:94(closegroup)
       50    0.000    0.000    0.000    0.000 _internal.py:872(_ufunc_doc_signature_formatter)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
      378    0.000    0.000    0.000    0.000 {built-in method from_bytes}
        4    0.000    0.000    0.000    0.000 textwrap.py:419(dedent)
       43    0.000    0.000    0.000    0.000 ipaddress.py:1889(__init__)
        1    0.000    0.000    0.000    0.000 _polybase.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _nested_sequence.py:1(<module>)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:748(find_spec)
       44    0.000    0.000    0.000    0.000 enum.py:1509(__and__)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
       26    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      317    0.000    0.000    0.000    0.000 overrides.py:105(array_function_dispatch)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      523    0.000    0.000    0.000    0.000 typing.py:1365(__eq__)
       15    0.000    0.000    0.000    0.000 <frozen zipimport>:64(__init__)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
     1337    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       51    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      380    0.000    0.000    0.000    0.000 typing.py:159(_type_convert)
      119    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        1    0.000    0.000    0.000    0.000 einsumfunc.py:1(<module>)
      119    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
        4    0.000    0.000    0.000    0.000 __init__.py:178(sub)
       81    0.000    0.000    0.000    0.000 typing.py:921(_is_unpacked_typevartuple)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
     1337    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1084    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
     1013    0.000    0.000    0.000    0.000 {built-in method builtins.min}
      120    0.000    0.000    0.000    0.000 {built-in method numpy.array}
       26    0.000    0.000    0.000    0.000 core.py:921(__init__)
        1    0.000    0.000    0.000    0.000 _iotools.py:1(<module>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1559(__init__)
        1    0.000    0.000    0.000    0.000 core.py:6550(__new__)
        1    0.000    0.000    0.000    0.000 stride_tricks.py:1(<module>)
     1101    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      448    0.000    0.000    0.000    0.000 _parser.py:249(match)
        2    0.000    0.000    0.000    0.000 typing.py:2946(__new__)
        1    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       75    0.000    0.000    0.000    0.000 _compiler.py:396(_simple)
      969    0.000    0.000    0.000    0.000 typing.py:1358(<genexpr>)
      320    0.000    0.000    0.000    0.000 _parser.py:172(append)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1617(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 histograms.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
      323    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 _polybase.py:18(ABCPolyBase)
       36    0.000    0.000    0.000    0.000 getlimits.py:91(_float_to_float)
      159    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
       12    0.000    0.000    0.000    0.000 datetime.py:592(__new__)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
       13    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 _type_aliases.py:94(_add_aliases)
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
       18    0.000    0.000    0.000    0.000 core.py:997(__init__)
      224    0.000    0.000    0.000    0.000 typing.py:1664(__eq__)
        6    0.000    0.000    0.000    0.000 numeric.py:2507(extend_all)
        1    0.000    0.000    0.000    0.000 records.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:347(__exit__)
      654    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 chebyshev.py:1(<module>)
        4    0.000    0.000    0.000    0.000 typing.py:2045(__init_subclass__)
      302    0.000    0.000    0.000    0.000 _parser.py:160(__len__)
    35/15    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
      159    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.000    0.000 {method 'close' of '_io.TextIOWrapper' objects}
      225    0.000    0.000    0.000    0.000 _parser.py:286(tell)
       13    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
        1    0.000    0.000    0.000    0.000 hermite_e.py:1(<module>)
      312    0.000    0.000    0.000    0.000 typing.py:1699(__eq__)
        1    0.000    0.000    0.000    0.000 _datasource.py:431(exists)
       47    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
        1    0.000    0.000    0.000    0.000 legendre.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
    35/15    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.000    0.000 mixins.py:1(<module>)
        1    0.000    0.000    0.000    0.000 hermite.py:1(<module>)
        1    0.000    0.000    0.000    0.000 getlimits.py:1(<module>)
       80    0.000    0.000    0.000    0.000 ipaddress.py:1209(_parse_octet)
       24    0.000    0.000    0.000    0.000 numerictypes.py:514(_scalar_type_key)
        6    0.000    0.000    0.000    0.000 core.py:1146(__init__)
       57    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        1    0.000    0.000    0.000    0.000 laguerre.py:1(<module>)
      324    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.000    0.000 core.py:2697(MaskedArray)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:1(<module>)
       45    0.000    0.000    0.000    0.000 typing.py:289(_unpack_args)
        1    0.000    0.000    0.000    0.000 {function SeedSequence.generate_state at 0x7fb4a9d9d940}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
      342    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      131    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       16    0.000    0.000    0.000    0.000 _type_aliases.py:58(bitname)
       13    0.000    0.000    0.000    0.000 enum.py:365(__setitem__)
      120    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.000    0.000 stride_tricks.py:367(broadcast_to)
        1    0.000    0.000    0.000    0.000 numbers.py:32(Complex)
      342    0.000    0.000    0.000    0.000 {built-in method numpy.core._multiarray_umath.add_docstring}
       49    0.000    0.000    0.000    0.000 _parser.py:369(_escape)
        2    0.000    0.000    0.000    0.000 enum.py:482(__prepare__)
        5    0.000    0.000    0.000    0.000 enum.py:242(__set_name__)
       44    0.000    0.000    0.000    0.000 enum.py:686(__call__)
        1    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 helper.py:1(<module>)
      944    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        2    0.000    0.000    0.000    0.000 stride_tricks.py:340(_broadcast_to)
       12    0.000    0.000    0.000    0.000 <frozen codecs>:319(decode)
       35    0.000    0.000    0.000    0.000 _parser.py:82(opengroup)
       97    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1402(__init__)
      395    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        8    0.000    0.000    0.000    0.000 _compiler.py:384(_mk_bitmap)
      362    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        8    0.000    0.000    0.000    0.000 typing.py:1019(__init__)
    29/21    0.000    0.000    0.000    0.000 _compiler.py:434(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 mixins.py:59(NDArrayOperatorsMixin)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
